               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072698,            0.017507,                   0,             0.70828,             0.70749,             0.75247,              0.3015,            0.044468,           0.0095468,                   0,            0.070059,           0.0033268,           0.0033268
                   1,            0.047918,            0.012028,                   0,             0.84786,             0.84595,             0.87165,             0.47037,            0.035315,           0.0074915,                   0,            0.040048,           0.0066491,           0.0066491
                   2,            0.042311,            0.010081,                   0,             0.91591,             0.88979,             0.90907,             0.51072,            0.032628,           0.0067718,                   0,            0.010026,           0.0099605,           0.0099605
                   3,            0.037248,           0.0091946,                   0,             0.93083,             0.89761,             0.92081,             0.61111,            0.027573,           0.0060572,                   0,           0.0099505,           0.0099505,           0.0099505
                   4,            0.033209,           0.0084944,                   0,             0.94079,             0.92114,             0.92369,             0.62323,            0.026369,           0.0055919,                   0,           0.0099505,           0.0099505,           0.0099505
                   5,            0.030869,             0.00809,                   0,             0.94584,             0.92095,             0.92981,             0.64549,            0.024696,           0.0053548,                   0,            0.009934,            0.009934,            0.009934
                   6,            0.029218,           0.0077987,                   0,             0.94622,             0.93457,             0.93701,             0.67725,            0.022663,           0.0051326,                   0,           0.0099175,           0.0099175,           0.0099175
                   7,            0.028074,           0.0076013,                   0,             0.95207,             0.94332,             0.94655,             0.69179,            0.022268,            0.004952,                   0,            0.009901,            0.009901,            0.009901
                   8,            0.027459,           0.0074122,                   0,             0.95467,               0.942,             0.94928,             0.69192,            0.021827,           0.0048629,                   0,           0.0098845,           0.0098845,           0.0098845
                   9,            0.026651,            0.007296,                   0,             0.95332,             0.94369,             0.95338,             0.70661,            0.021503,           0.0048307,                   0,            0.009868,            0.009868,            0.009868
                  10,            0.026217,             0.00727,                   0,             0.95417,             0.93889,              0.9515,             0.71295,            0.020903,           0.0047848,                   0,           0.0098515,           0.0098515,           0.0098515
                  11,            0.025774,           0.0071539,                   0,             0.95787,             0.94971,             0.95574,             0.71691,            0.020412,           0.0045916,                   0,            0.009835,            0.009835,            0.009835
                  12,            0.025196,           0.0071145,                   0,             0.95637,             0.94269,             0.95773,             0.71822,            0.020338,           0.0047223,                   0,           0.0098185,           0.0098185,           0.0098185
                  13,            0.025156,           0.0070343,                   0,             0.96521,             0.95071,             0.95893,             0.72758,            0.019755,           0.0045434,                   0,            0.009802,            0.009802,            0.009802
                  14,            0.024485,            0.006868,                   0,             0.96316,              0.9504,             0.95947,             0.72853,            0.019568,            0.004585,                   0,           0.0097855,           0.0097855,           0.0097855
                  15,            0.024097,           0.0067466,                   0,             0.96773,             0.95338,             0.96455,             0.72476,            0.019289,           0.0045202,                   0,            0.009769,            0.009769,            0.009769
                  16,            0.024027,           0.0067705,                   0,             0.96468,             0.95247,             0.96295,             0.72784,            0.019257,           0.0044345,                   0,           0.0097525,           0.0097525,           0.0097525
                  17,            0.023548,           0.0065898,                   0,             0.96876,             0.95137,              0.9693,             0.74711,            0.018648,           0.0044324,                   0,            0.009736,            0.009736,            0.009736
                  18,            0.023703,           0.0066515,                   0,             0.96916,             0.95306,             0.96294,             0.73341,            0.018817,           0.0043965,                   0,           0.0097195,           0.0097195,           0.0097195
                  19,            0.023124,           0.0065515,                   0,             0.96878,             0.95219,             0.96378,             0.73985,            0.018755,           0.0043327,                   0,            0.009703,            0.009703,            0.009703
                  20,            0.023511,           0.0065522,                   0,             0.96779,             0.95441,             0.96529,             0.74479,            0.018743,           0.0043759,                   0,           0.0096865,           0.0096865,           0.0096865
                  21,            0.023296,           0.0064661,                   0,             0.96851,             0.95811,             0.96742,             0.74984,            0.018267,            0.004258,                   0,             0.00967,             0.00967,             0.00967
                  22,            0.022828,           0.0064299,                   0,             0.97131,             0.95996,             0.97005,             0.74725,            0.018197,           0.0041532,                   0,           0.0096535,           0.0096535,           0.0096535
                  23,            0.022671,           0.0065025,                   0,             0.97186,              0.9554,             0.96969,             0.75253,            0.017922,            0.004191,                   0,            0.009637,            0.009637,            0.009637
                  24,             0.02258,           0.0065719,                   0,              0.9709,             0.95663,             0.97318,             0.75419,            0.017798,           0.0041965,                   0,           0.0096205,           0.0096205,           0.0096205
                  25,            0.022396,           0.0063488,                   0,             0.96809,             0.95934,             0.97021,             0.75421,            0.017724,           0.0042789,                   0,            0.009604,            0.009604,            0.009604
                  26,            0.022254,            0.006413,                   0,             0.96989,             0.96119,             0.97342,             0.76394,             0.01753,           0.0040982,                   0,           0.0095875,           0.0095875,           0.0095875
