               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.021462,           0.0060523,                   0,              0.9666,              0.9708,             0.98015,             0.78053,            0.016517,           0.0038741,                   0,            0.009703,            0.009703,            0.009703
                  38,            0.021634,           0.0061876,                   0,             0.97409,             0.96944,             0.98048,              0.7819,            0.016439,             0.00382,                   0,           0.0096948,           0.0096948,           0.0096948
                  39,            0.021051,           0.0060188,                   0,             0.97133,             0.97277,             0.98366,             0.78927,            0.016201,           0.0038001,                   0,           0.0096865,           0.0096865,           0.0096865
                  40,            0.021067,           0.0060623,                   0,             0.97298,             0.97068,             0.97897,             0.78191,               0.016,           0.0038011,                   0,           0.0096783,           0.0096783,           0.0096783
                  41,            0.020964,           0.0059855,                   0,             0.97398,             0.96981,             0.98094,             0.78665,            0.016048,           0.0037676,                   0,             0.00967,             0.00967,             0.00967
                  42,            0.021211,           0.0059635,                   0,             0.97042,             0.97414,             0.98266,             0.78916,            0.015971,           0.0037389,                   0,           0.0096618,           0.0096618,           0.0096618
                  43,            0.020883,           0.0060118,                   0,             0.97023,             0.97745,             0.98328,             0.79383,            0.015851,           0.0037236,                   0,           0.0096535,           0.0096535,           0.0096535
                  44,            0.020691,           0.0059446,                   0,             0.97212,             0.97203,             0.98506,             0.79154,            0.015798,           0.0036893,                   0,           0.0096452,           0.0096452,           0.0096452
                  45,            0.020894,             0.00604,                   0,             0.97143,             0.97585,             0.98494,             0.79441,             0.01575,            0.003704,                   0,            0.009637,            0.009637,            0.009637
                  46,            0.020755,           0.0059357,                   0,             0.97272,             0.97474,             0.98414,             0.79548,              0.0157,           0.0036944,                   0,           0.0096288,           0.0096288,           0.0096288
                  47,            0.020895,           0.0059494,                   0,             0.97151,             0.97203,             0.98275,             0.79104,             0.01567,           0.0037179,                   0,           0.0096205,           0.0096205,           0.0096205
                  48,            0.020743,           0.0058621,                   0,             0.97083,             0.98053,             0.98545,             0.80011,            0.015476,           0.0036326,                   0,           0.0096123,           0.0096123,           0.0096123
                  49,            0.020822,           0.0059339,                   0,             0.97759,             0.97277,             0.98618,             0.80584,            0.015306,            0.003628,                   0,            0.009604,            0.009604,            0.009604
                  50,            0.020645,           0.0058489,                   0,             0.97324,             0.97942,             0.98413,             0.80155,            0.015278,           0.0036224,                   0,           0.0095958,           0.0095958,           0.0095958
                  51,            0.020085,           0.0058621,                   0,             0.97585,             0.97733,             0.98715,             0.80683,            0.015215,           0.0035833,                   0,           0.0095875,           0.0095875,           0.0095875
                  52,            0.020363,           0.0059329,                   0,              0.9749,             0.97646,             0.98688,             0.80784,            0.015186,           0.0035913,                   0,           0.0095793,           0.0095793,           0.0095793
                  53,            0.020328,            0.005885,                   0,             0.97791,             0.98029,             0.98733,             0.80901,            0.015122,           0.0035616,                   0,            0.009571,            0.009571,            0.009571
                  54,            0.020266,           0.0058258,                   0,             0.97658,             0.98112,             0.98668,             0.80666,            0.014941,           0.0035384,                   0,           0.0095628,           0.0095628,           0.0095628
                  55,            0.020174,           0.0058325,                   0,             0.97672,             0.98219,             0.98617,             0.80709,            0.014922,           0.0035336,                   0,           0.0095545,           0.0095545,           0.0095545
                  56,            0.020209,           0.0058614,                   0,             0.97495,             0.98323,             0.98661,             0.80709,            0.014922,           0.0035375,                   0,           0.0095463,           0.0095463,           0.0095463
                  57,            0.020192,           0.0058357,                   0,             0.97753,             0.98097,             0.98799,             0.81051,            0.014855,           0.0035234,                   0,            0.009538,            0.009538,            0.009538
                  58,            0.020374,           0.0057783,                   0,             0.97487,              0.9845,             0.98742,             0.80859,            0.014773,           0.0035132,                   0,           0.0095298,           0.0095298,           0.0095298
                  59,            0.020108,           0.0057928,                   0,             0.97747,              0.9836,             0.98783,             0.81138,            0.014739,           0.0034855,                   0,           0.0095215,           0.0095215,           0.0095215
                  60,            0.019934,           0.0056859,                   0,             0.97759,             0.98521,             0.98778,             0.81432,            0.014643,           0.0034513,                   0,           0.0095132,           0.0095132,           0.0095132
                  61,            0.020001,           0.0057426,                   0,              0.9775,              0.9848,             0.98834,             0.81953,            0.014518,            0.003445,                   0,            0.009505,            0.009505,            0.009505
                  62,            0.020113,           0.0057473,                   0,             0.97845,             0.98386,             0.98864,             0.81955,            0.014436,           0.0034374,                   0,           0.0094967,           0.0094967,           0.0094967
                  63,            0.019826,           0.0056781,                   0,             0.97819,              0.9838,             0.98846,              0.8165,            0.014472,            0.003448,                   0,           0.0094885,           0.0094885,           0.0094885
                  64,            0.019893,           0.0056801,                   0,             0.97795,             0.98595,             0.98859,             0.81947,            0.014427,           0.0034302,                   0,           0.0094803,           0.0094803,           0.0094803
                  65,            0.019854,            0.005659,                   0,             0.97803,             0.98632,             0.98855,             0.81975,            0.014328,           0.0034109,                   0,            0.009472,            0.009472,            0.009472
                  66,            0.019924,           0.0056304,                   0,             0.97586,             0.98879,             0.98845,             0.82077,             0.01429,           0.0033974,                   0,           0.0094637,           0.0094637,           0.0094637
                  67,            0.019739,           0.0057089,                   0,             0.97752,             0.98879,             0.98901,             0.82231,            0.014164,           0.0033739,                   0,           0.0094555,           0.0094555,           0.0094555
                  68,            0.019765,           0.0056879,                   0,              0.9745,             0.98817,             0.98924,             0.82416,            0.014193,           0.0033733,                   0,           0.0094473,           0.0094473,           0.0094473
                  69,            0.019677,           0.0056739,                   0,             0.97789,             0.98638,             0.98855,             0.82369,            0.014174,           0.0033687,                   0,            0.009439,            0.009439,            0.009439
                  70,            0.019642,           0.0056707,                   0,             0.97721,             0.98777,              0.9887,             0.82383,            0.014039,           0.0033531,                   0,           0.0094307,           0.0094307,           0.0094307
                  71,            0.019497,           0.0056478,                   0,             0.98025,             0.98928,             0.98968,             0.82713,            0.013984,           0.0033237,                   0,           0.0094225,           0.0094225,           0.0094225
                  72,            0.019796,           0.0057422,                   0,             0.97798,             0.99027,             0.98968,             0.82696,            0.013949,           0.0033266,                   0,           0.0094142,           0.0094142,           0.0094142
                  73,             0.01958,            0.005663,                   0,             0.97795,             0.98929,             0.98898,             0.82417,            0.013968,           0.0033377,                   0,            0.009406,            0.009406,            0.009406
                  74,            0.019601,           0.0057265,                   0,             0.97858,             0.99027,              0.9895,             0.82734,            0.013903,           0.0033244,                   0,           0.0093977,           0.0093977,           0.0093977
                  75,            0.019698,           0.0057343,                   0,             0.97845,             0.99036,             0.98914,             0.82732,            0.013837,            0.003318,                   0,           0.0093895,           0.0093895,           0.0093895
